block,image,condition,direction,subject,response,correct,switch,switchType,rt
practice,left_fish.jpg,null,left,30032357,left,1,NA,NA,2.669
practice,right_fish.jpg,null,right,30032357,right,1,NA,NA,1.478
practice,bowl.jpg,null,,30032357,NA,0,NA,NA,-1
practice,right_fish.jpg,null,right,30032357,right,1,NA,NA,3.760
practice,bowl.jpg,null,,30032357,NA,0,NA,NA,-1
practice,left_fish.jpg,null,left,30032357,left,1,NA,NA,2.823
practice,con_left_practice.jpg,congruent,left,30032357,left,1,NA,NA,2.691
practice,in_left_practice.jpg,incongruent,left,30032357,right,0,1,ci,2.263
practice,con_right_practice.jpg,congruent,right,30032357,NA,0,1,ic,-1
practice,nogo_right_practice.jpg,nogo,right,30032357,NA,1,1,cx,-1
practice,in_right_practice.jpg,incongruent,right,30032357,right,1,1,xi,4.394
practice,nogo_left_practice.jpg,nogo,left,30032357,NA,1,1,ix,-1
test,in_left.jpg,incongruent,left,30032357,NA,0,NA,NA,-1
test,in_left.jpg,incongruent,left,30032357,NA,0,0,ii,-1
test,nogo_left.jpg,nogo,left,30032357,NA,1,1,ix,-1
test,nogo_right.jpg,nogo,right,30032357,NA,1,0,xx,-1
test,con_right.jpg,congruent,right,30032357,NA,0,1,xc,-1
test,con_left.jpg,congruent,left,30032357,left,1,0,cc,3.660
test,nogo_left.jpg,nogo,left,30032357,left,0,1,cx,2.958
test,nogo_right.jpg,nogo,right,30032357,right,0,0,xx,1.776
test,con_right.jpg,congruent,right,30032357,right,1,1,xc,1.475
test,con_left.jpg,congruent,left,30032357,NA,0,0,cc,-1
test,nogo_left.jpg,nogo,left,30032357,left,0,1,cx,1.255
test,nogo_right.jpg,nogo,right,30032357,right,0,0,xx,2.093
test,in_right.jpg,incongruent,right,30032357,left,0,1,xi,2.239
test,in_left.jpg,incongruent,left,30032357,NA,0,0,ii,-1
test,nogo_right.jpg,nogo,right,30032357,right,0,1,ix,2.498
test,nogo_right.jpg,nogo,right,30032357,right,0,0,xx,1.659
test,con_right.jpg,congruent,right,30032357,right,1,1,xc,1.391
test,con_left.jpg,congruent,left,30032357,left,1,0,cc,2.075
test,in_right.jpg,incongruent,right,30032357,left,0,1,ci,1.210
test,con_left.jpg,congruent,left,30032357,left,1,1,ic,1.695
test,con_left.jpg,congruent,left,30032357,left,1,0,cc,2.225
test,in_right.jpg,incongruent,right,30032357,right,1,1,ci,2.626
test,in_left.jpg,incongruent,left,30032357,left,1,0,ii,2.897
test,nogo_right.jpg,nogo,right,30032357,NA,1,1,ix,-1
test,nogo_left.jpg,nogo,left,30032357,NA,1,0,xx,-1
test,in_left.jpg,incongruent,left,30032357,NA,0,1,xi,-1
test,in_right.jpg,incongruent,right,30032357,left,0,0,ii,2.705
test,con_right.jpg,congruent,right,30032357,right,1,1,ic,2.527
test,con_right.jpg,congruent,right,30032357,right,1,0,cc,1.658
test,nogo_left.jpg,nogo,left,30032357,NA,1,1,cx,-1
test,nogo_left.jpg,nogo,left,30032357,NA,1,0,xx,-1
test,in_right.jpg,incongruent,right,30032357,left,0,1,xi,1.940
test,in_right.jpg,incongruent,right,30032357,right,1,0,ii,2.176
test,con_left.jpg,congruent,left,30032357,NA,0,1,ic,-1
test,con_right.jpg,congruent,right,30032357,NA,0,0,cc,-1
test,in_left.jpg,incongruent,left,30032357,NA,0,1,ci,-1
